"ano";"cisp";"cel_c_s";"veic_c_s"
2019;1;284;12
2019;10;392;142
2019;11;5;3
2019;12;191;9
2019;13;126;9
2019;14;284;32
2019;15;53;65
2019;16;358;240
2019;17;266;349
2019;18;327;384
2019;19;188;174
2019;20;240;336
2019;21;639;676
2019;22;332;523
2019;23;387;323
2019;24;363;470
2019;25;259;469
2019;26;275;372
2019;27;491;1382
2019;28;223;209
2019;29;977;793
2019;30;427;445
2019;31;468;1115
2019;32;404;427
2019;33;1022;1226
2019;34;1038;1652
2019;35;591;1115
2019;36;229;205
2019;37;144;121
2019;38;479;788
2019;39;534;1750
2019;4;215;90
2019;40;340;1021
2019;41;150;141
2019;42;197;223
2019;43;166;108
2019;44;409;525
2019;5;423;54
2019;6;174;236
2019;7;36;41
2019;9;327;211
