"ano";"cisp";"cel_c_s";"veic_c_s"
2020;1;192;4
2020;10;141;85
2020;11;7;2
2020;12;123;3
2020;13;66;6
2020;14;177;22
2020;15;61;32
2020;16;241;97
2020;17;176;227
2020;18;113;246
2020;19;83;159
2020;20;128;228
2020;21;396;475
2020;22;226;315
2020;23;188;247
2020;24;226;317
2020;25;202;300
2020;26;137;178
2020;27;368;582
2020;28;140;165
2020;29;541;470
2020;30;215;375
2020;31;185;905
2020;32;297;292
2020;33;579;1140
2020;34;651;1169
2020;35;438;795
2020;36;148;119
2020;37;86;104
2020;38;319;531
2020;39;397;1243
2020;4;143;61
2020;40;208;412
2020;41;132;78
2020;42;94;140
2020;43;82;93
2020;44;235;283
2020;5;316;45
2020;6;139;195
2020;7;28;34
2020;9;247;159
