"ano";"cisp";"cel_c_s";"veic_c_s"
2011;1;81;26
2011;10;110;77
2011;12;22;3
2011;13;22;8
2011;14;76;40
2011;15;31;48
2011;16;103;169
2011;17;59;232
2011;18;75;167
2011;19;64;52
2011;20;53;96
2011;21;141;531
2011;22;129;318
2011;23;244;297
2011;24;61;182
2011;25;111;374
2011;26;63;194
2011;27;111;758
2011;28;194;305
2011;29;160;294
2011;30;162;254
2011;31;96;465
2011;32;126;140
2011;33;145;418
2011;34;160;734
2011;35;105;542
2011;36;46;172
2011;37;67;191
2011;38;124;488
2011;39;49;681
2011;4;110;64
2011;40;133;470
2011;41;85;93
2011;42;35;205
2011;43;9;79
2011;44;91;253
2011;5;124;52
2011;6;35;72
2011;7;7;47
2011;9;82;136
